,precision,recall,f1-score,support
Safe,0.7714285714285715,0.7132075471698113,0.7411764705882353,265.0
Vulnerable,0.7491749174917491,0.8021201413427562,0.7747440273037542,283.0
accuracy,0.7591240875912408,0.7591240875912408,0.7591240875912408,0.7591240875912408
macro avg,0.7603017444601603,0.7576638442562837,0.7579602489459948,548.0
weighted avg,0.7599362647422198,0.7591240875912408,0.7585115409358482,548.0
